iter	Passed	Remaining
708	52768	21658
709	52844	21584
710	52926	21512
711	52985	21432
712	53042	21350
713	53105	21272
714	53178	21196
715	53252	21122
716	53319	21045
717	53376	20964
718	53456	20891
719	53529	20816
720	53609	20744
721	53695	20674
722	53768	20600
723	53845	20526
724	53919	20452
725	54003	20381
726	54079	20307
727	54141	20228
728	54211	20152
729	54289	20079
730	54377	20010
731	54466	19941
732	54551	19870
733	54640	19801
734	54721	19729
735	54814	19661
736	54900	19591
737	54970	19515
738	55046	19441
739	55117	19365
740	55193	19291
741	55253	19212
742	55307	19130
743	55359	19048
744	55417	18968
745	55490	18893
746	55551	18814
747	55648	18747
748	55719	18672
749	55810	18603
750	55888	18530
751	55973	18459
752	56052	18386
753	56136	18315
754	56234	18248
755	56333	18181
756	56403	18105
757	56488	18034
758	56561	17959
759	56611	17877
760	56667	17797
761	56720	17715
762	56773	17634
763	56828	17554
764	56884	17474
765	56934	17392
766	56976	17308
767	57024	17226
768	57095	17150
769	57184	17080
770	57274	17011
771	57344	16936
772	57420	16862
773	57500	16789
774	57598	16722
775	57689	16652
776	57763	16578
777	57837	16503
778	57914	16430
779	57989	16355
780	58062	16281
781	58132	16205
782	58204	16130
783	58268	16053
784	58331	15976
785	58397	15899
786	58493	15831
787	58589	15762
788	58681	15693
789	58780	15625
790	58875	15556
791	58972	15487
792	59064	15417
793	59158	15348
794	59233	15274
795	59299	15197
796	59362	15120
797	59421	15041
798	59492	14966
799	59570	14892
800	59656	14821
801	59749	14751
802	59846	14682
803	59931	14610
804	60025	14540
805	60141	14475
806	60237	14406
807	60329	14335
808	60432	14267
809	60542	14201
810	60642	14132
811	60725	14059
812	60821	13989
813	60904	13916
814	60989	13844
815	61053	13767
816	61118	13689
817	61193	13615
818	61270	13540
819	61357	13468
820	61431	13393
821	61519	13321
822	61619	13252
823	61705	13179
824	61789	13106
825	61867	13032
826	61966	12962
827	62058	12891
828	62145	12818
829	62225	12745
830	62308	12671
831	62395	12599
832	62471	12524
833	62541	12448
834	62628	12375
835	62708	12301
836	62799	12229
837	62895	12158
838	62969	12083
839	63054	12010
840	63138	11936
841	63206	11860
842	63277	11784
843	63350	11709
844	63431	11635
845	63512	11561
846	63590	11486
847	63676	11413
848	63763	11340
849	63845	11266
850	63945	11196
851	64034	11123
852	64118	11049
853	64195	10974
854	64266	10899
855	64325	10821
856	64382	10742
857	64449	10666
858	64531	10592
859	64604	10516
860	64705	10446
861	64815	10376
862	64901	10303
863	64982	10228
864	65066	10154
865	65177	10085
866	65267	10012
867	65378	9942
868	65484	9871
869	65569	9797
870	65624	9719
871	65688	9642
872	65760	9566
873	65829	9490
874	65902	9414
875	65980	9339
876	66061	9265
877	66145	9191
878	66230	9117
879	66321	9043
880	66403	8969
881	66474	8893
882	66552	8818
883	66625	8742
884	66706	8668
885	66786	8593
886	66868	8518
887	66950	8444
888	67029	8369
889	67093	8292
890	67186	8219
891	67282	8146
892	67369	8072
893	67453	7997
894	67546	7924
895	67630	7849
896	67707	7774
897	67778	7698
898	67854	7623
899	67941	7549
900	68032	7475
901	68133	7402
902	68215	7327
903	68314	7254
904	68403	7180
905	68483	7105
906	68574	7031
907	68646	6955
908	68708	6878
909	68770	6801
910	68833	6724
911	68887	6647
912	68941	6569
913	69018	6494
914	69102	6419
915	69202	6346
916	69298	6272
917	69378	6197
918	69445	6120
919	69520	6045
920	69604	5970
921	69686	5895
922	69765	5820
923	69858	5745
924	69935	5670
925	70016	5595
926	70073	5518
927	70126	5440
928	70176	5363
929	70222	5285
930	70269	5207
931	70326	5131
932	70375	5053
933	70429	4976
934	70491	4900
935	70600	4827
936	70695	4753
937	70782	4678
938	70855	4602
939	70936	4527
940	71020	4452
941	71117	4378
942	71197	4303
943	71283	4228
944	71369	4153
945	71470	4079
946	71571	4005
947	71675	3931
948	71783	3857
949	71901	3784
950	72008	3710
951	72109	3635
952	72218	3561
953	72299	3486
954	72399	3411
955	72491	3336
956	72586	3261
957	72685	3186
958	72784	3111
959	72866	3036
960	72944	2960
961	73030	2884
962	73099	2808
963	73171	2732
964	73248	2656
965	73328	2580
966	73409	2505
967	73489	2429
968	73570	2353
969	73652	2277
970	73732	2202
971	73817	2126
972	73889	2050
973	73978	1974
974	74057	1898
975	74145	1823
976	74231	1747
977	74316	1671
978	74390	1595
979	74468	1519
980	74544	1443
981	74624	1367
982	74699	1291
983	74782	1215
984	74865	1140
985	74940	1064
986	75019	988
987	75085	911
988	75154	835
989	75223	759
990	75310	683
991	75383	607
992	75491	532
993	75574	456
994	75666	380
995	75749	304
996	75837	228
997	75926	152
998	76003	76
999	76064	0
